po-number,po-date,vendor,sku,description,qty,unit-cost,freight-duty-alloc,total-cost
PO-2026-0139,06/14/2026,NutraBlend Manufacturing,PF-PREWKT-BERRY,Peak Fuel Pre-Workout Mixed Berry 30srv,300,8.19,213.60,2670.60
PO-2026-0138,2026-02-07,NutraBlend Manufacturing,PF-PREWKT-BERRY,Peak Fuel Pre-Workout Mixed Berry 30srv,500,8.19,356.00,4451.00
PO-2026-0178,03/01/2026,Companion Goods Co,PH-SHAMPOO-OAT,PawHaus Oatmeal Dog Shampoo 16oz,800,3.50,243.20,3043.20
PO-2026-0177,2026-05-12,Companion Goods Co,PH-SHAMPOO-OAT,PawHaus Oatmeal Dog Shampoo 16oz,800,3.50,243.20,3043.20
PO-2026-0186,05/16/2026,Companion Goods Co,PH-DENTAL-30CT,PawHaus Dental Chews 30ct - CASE OF 12,16,80.59,112.13,1401.57
PO-2026-0152,05/14/2026,NutraBlend Manufacturing,PF-ELECTRO-CIT,Peak Fuel Electrolyte Powder Citrus 60srv,400,5.89,204.80,2560.80
PO-2026-0165,2026-05-18,Coastal Labs Cosmetics,GT-MASK-CLAY,GlowTheory Detox Clay Mask 100g,200,4.23,73.60,919.60
PO-2026-0146,03/03/2026,NutraBlend Manufacturing,PF-SHAKER-28,Peak Fuel Shaker Bottle 28oz,300,2.12,55.20,691.20
PO-2026-0160,04/07/2026,Coastal Labs Cosmetics,GT-MOIST-50ML,GlowTheory Daily Moisturizer 50ml,600,4.78,249.60,3117.60
PO-2026-0151,2026-03-19,NutraBlend Manufacturing,PF-ELECTRO-CIT,Peak Fuel Electrolyte Powder Citrus 60srv,300,5.89,153.60,1920.60
